Test Case ID,Test Items,Pre-condition,Test Data,Test Steps,Expected results,A result
TC-POL-008,Gộp alsoAllow vào allow khi cả hai cùng tồn tại,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Gộp alsoAllow vào allow khi cả hai cùng tồn tại.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Gộp alsoAllow vào allow khi cả hai cùng tồn tại. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > merges subagent tools.alsoAllow into tools.allow when both are set.,Hệ thống Gộp alsoAllow vào allow khi cả hai cùng tồn tại đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-009,Ưu tiên deny hơn allow và alsoAllow,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Ưu tiên deny hơn allow và alsoAllow.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Ưu tiên deny hơn allow và alsoAllow. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > keeps configured deny precedence over allow and alsoAllow.,Hệ thống Ưu tiên deny hơn allow và alsoAllow đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-010,Không tạo allowlist hạn chế khi chỉ có alsoAllow,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Không tạo allowlist hạn chế khi chỉ có alsoAllow.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Không tạo allowlist hạn chế khi chỉ có alsoAllow. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > does not create a restrictive allowlist when only alsoAllow is configured.,Hệ thống Không tạo allowlist hạn chế khi chỉ có alsoAllow đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-011,Cho orchestrator độ sâu 1 spawn session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Cho orchestrator độ sâu 1 spawn session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Cho orchestrator độ sâu 1 spawn session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 orchestrator (maxSpawnDepth=2) allows sessions_spawn.,Hệ thống Cho orchestrator độ sâu 1 spawn session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-012,Cho orchestrator độ sâu 1 dùng subagent,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Cho orchestrator độ sâu 1 dùng subagent.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Cho orchestrator độ sâu 1 dùng subagent. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 orchestrator (maxSpawnDepth=2) allows subagents.,Hệ thống Cho orchestrator độ sâu 1 dùng subagent đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-013,Cho orchestrator độ sâu 1 đọc danh sách session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Cho orchestrator độ sâu 1 đọc danh sách session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Cho orchestrator độ sâu 1 đọc danh sách session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 orchestrator (maxSpawnDepth=2) allows sessions_list.,Hệ thống Cho orchestrator độ sâu 1 đọc danh sách session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-014,Cho orchestrator độ sâu 1 đọc lịch sử session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để cho orchestrator độ sâu 1 đọc lịch sử session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống cho orchestrator độ sâu 1 đọc lịch sử session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 orchestrator (maxSpawnDepth=2) allows sessions_history.,Hệ thống cho orchestrator độ sâu 1 đọc lịch sử session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-015,Chặn gateway/cron/memory ngoài phạm vi,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để chặn gateway/cron/memory ngoài phạm vi.","1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống chặn gateway/cron/memory ngoài phạm vi. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 orchestrator still denies gateway, cron, memory.",Hệ thống chặn gateway/cron/memory ngoài phạm vi đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-016,Chặn leaf độ sâu 2 spawn session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Chặn leaf độ sâu 2 spawn session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn leaf độ sâu 2 spawn session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-2 leaf denies sessions_spawn.,Hệ thống Chặn leaf độ sâu 2 spawn session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-017,Cho orchestrator độ sâu 2 spawn session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Cho orchestrator độ sâu 2 spawn session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Cho orchestrator độ sâu 2 spawn session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-2 orchestrator (maxSpawnDepth=3) allows sessions_spawn.,Hệ thống Cho orchestrator độ sâu 2 spawn session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-018,Chặn leaf độ sâu 3 spawn session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Chặn leaf độ sâu 3 spawn session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn leaf độ sâu 3 spawn session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-3 leaf (maxSpawnDepth=3) denies sessions_spawn.,Hệ thống Chặn leaf độ sâu 3 spawn session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-019,Chặn leaf độ sâu 2 dùng subagent,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Chặn leaf độ sâu 2 dùng subagent.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn leaf độ sâu 2 dùng subagent. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-2 leaf denies subagents.,Hệ thống Chặn leaf độ sâu 2 dùng subagent đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-020,Chặn leaf độ sâu 2 đọc session list/history,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Chặn leaf độ sâu 2 đọc session list/history.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn leaf độ sâu 2 đọc session list/history. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-2 leaf denies sessions_list and sessions_history.,Hệ thống Chặn leaf độ sâu 2 đọc session list/history đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-021,Chặn leaf độ sâu 1 spawn session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Chặn leaf độ sâu 1 spawn session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn leaf độ sâu 1 spawn session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 leaf (maxSpawnDepth=1) denies sessions_spawn.,Hệ thống Chặn leaf độ sâu 1 spawn session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-022,Chặn leaf độ sâu 1 đọc danh sách session,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Chặn leaf độ sâu 1 đọc danh sách session.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn leaf độ sâu 1 đọc danh sách session. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > depth-1 leaf (maxSpawnDepth=1) denies sessions_list.,Hệ thống Chặn leaf độ sâu 1 đọc danh sách session đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-023,Dùng leaf role đã lưu cho session key phẳng ở độ sâu 1,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để dùng leaf role đã lưu cho session key phẳng ở độ sâu 1.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống dùng leaf role đã lưu cho session key phẳng ở độ sâu 1. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > uses stored leaf role for flat depth-1 session keys.,Hệ thống dùng leaf role đã lưu cho session key phẳng ở độ sâu 1 đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-024,ResolveSubagentToolPolicy depth awareness defaults to leaf behavior when no depth is provided,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để resolveSubagentToolPolicy depth awareness defaults to leaf behavior when no depth is provided.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống resolveSubagentToolPolicy depth awareness defaults to leaf behavior when no depth is provided. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > defaults to leaf behavior when no depth is provided.,Hệ thống resolveSubagentToolPolicy depth awareness defaults to leaf behavior when no depth is provided đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-025,ResolveSubagentToolPolicy depth awareness defaults to leaf behavior when depth is undefined and maxSpawnDepth is 1,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để resolveSubagentToolPolicy depth awareness defaults to leaf behavior when depth is undefined and maxSpawnDepth is 1.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống resolveSubagentToolPolicy depth awareness defaults to leaf behavior when depth is undefined and maxSpawnDepth is 1. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveSubagentToolPolicy depth awareness > defaults to leaf behavior when depth is undefined and maxSpawnDepth is 1.,Hệ thống resolveSubagentToolPolicy depth awareness defaults to leaf behavior when depth is undefined and maxSpawnDepth is 1 đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-026,ResolveEffectiveToolPolicy implicitly re-exposes exec and process when tools.exec is configured,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để resolveEffectiveToolPolicy implicitly re-exposes exec and process when tools.exec is configured.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống resolveEffectiveToolPolicy implicitly re-exposes exec and process when tools.exec is configured. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveEffectiveToolPolicy > implicitly re-exposes exec and process when tools.exec is configured.,Hệ thống resolveEffectiveToolPolicy implicitly re-exposes exec and process when tools.exec is configured đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-027,"ResolveEffectiveToolPolicy implicitly re-exposes read, write, and edit when tools.fs is configured",Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để resolveEffectiveToolPolicy implicitly re-exposes read, write, and edit when tools.fs is configured.","1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống resolveEffectiveToolPolicy implicitly re-exposes read, write, and edit when tools.fs is configured. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveEffectiveToolPolicy > implicitly re-exposes read, write, and edit when tools.fs is configured.","Hệ thống resolveEffectiveToolPolicy implicitly re-exposes read, write, and edit when tools.fs is configured đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.",Pass
TC-POL-028,Gộp alsoAllow rõ ràng với quyền tool ngầm định,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để Gộp alsoAllow rõ ràng với quyền tool ngầm định.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Gộp alsoAllow rõ ràng với quyền tool ngầm định. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveEffectiveToolPolicy > merges explicit alsoAllow with implicit tool-section exposure.,Hệ thống Gộp alsoAllow rõ ràng với quyền tool ngầm định đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-POL-029,Dùng cấu hình tool của agent khi phân giải quyền ẩn,Runtime tác nhân có cấu hình allow/deny tool policy theo cấp agent hoặc subagent.,"allowlist/denylist, tool name và subagent depth dùng để dùng cấu hình tool của agent khi phân giải quyền ẩn.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống dùng cấu hình tool của agent khi phân giải quyền ẩn. Minh chứng Vitest: src/agents/pi-tools.policy.test.ts - resolveEffectiveToolPolicy > uses agent tool sections when resolving implicit exposure.,Hệ thống dùng cấu hình tool của agent khi phân giải quyền ẩn đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-001,Làm sạch và khử trùng tên command skill,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để làm sạch và khử trùng tên command skill.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống làm sạch và khử trùng tên command skill. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillCommandSpecs > sanitizes and de-duplicates command names.,Hệ thống làm sạch và khử trùng tên command skill đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-002,Rút gọn mô tả command skill,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để rút gọn mô tả command skill.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống rút gọn mô tả command skill. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillCommandSpecs > truncates descriptions longer than 100 characters for Discord compatibility.,Hệ thống rút gọn mô tả command skill đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-003,Đọc metadata dispatch từ skill frontmatter,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để đọc metadata dispatch từ skill frontmatter.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống đọc metadata dispatch từ skill frontmatter. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillCommandSpecs > includes tool-dispatch metadata from frontmatter.,Hệ thống đọc metadata dispatch từ skill frontmatter đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-004,Nạp command Markdown bundled,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để nạp command Markdown bundled.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống nạp command Markdown bundled. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillCommandSpecs > includes enabled Claude bundle markdown commands as native FoxFang slash commands.,Hệ thống nạp command Markdown bundled đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-005,Trả prompt rỗng khi thiếu thư mục skill,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để trả prompt rỗng khi thiếu thư mục skill.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống trả prompt rỗng khi thiếu thư mục skill. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillsPrompt > returns empty prompt when skills dirs are missing.,Hệ thống trả prompt rỗng khi thiếu thư mục skill đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-006,Nạp bundled skills,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để nạp bundled skills.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống nạp bundled skills. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillsPrompt > loads bundled skills when present.,Hệ thống nạp bundled skills đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-007,Nạp skill folder bổ sung từ cấu hình,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để nạp skill folder bổ sung từ cấu hình.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống nạp skill folder bổ sung từ cấu hình. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillsPrompt > loads extra skill folders from config (lowest precedence).,Hệ thống nạp skill folder bổ sung từ cấu hình đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-008,Nạp skill từ workspace,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để nạp skill từ workspace.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống nạp skill từ workspace. Minh chứng Vitest: src/agents/skills.test.ts - buildWorkspaceSkillsPrompt > loads skills from workspace skills/.,Hệ thống nạp skill từ workspace đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-009,Thiết lập và khôi phục biến môi trường skill,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để thiết lập và khôi phục biến môi trường skill.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống thiết lập và khôi phục biến môi trường skill. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > sets and restores env vars.,Hệ thống thiết lập và khôi phục biến môi trường skill đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-010,Theo dõi env key đến khi mọi override chồng lấn được khôi phục,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để theo dõi env key đến khi mọi override chồng lấn được khôi phục.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống theo dõi env key đến khi mọi override chồng lấn được khôi phục. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > keeps env keys tracked until all overlapping overrides restore.,Hệ thống theo dõi env key đến khi mọi override chồng lấn được khôi phục đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-011,Áp dụng env override từ snapshot,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để Áp dụng env override từ snapshot.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Áp dụng env override từ snapshot. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > applies env overrides from snapshots.,Hệ thống Áp dụng env override từ snapshot đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-012,Ưu tiên runtime snapshot hơn SecretRef thô của skill,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để Ưu tiên runtime snapshot hơn SecretRef thô của skill.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Ưu tiên runtime snapshot hơn SecretRef thô của skill. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > prefers the active runtime snapshot over raw SecretRef skill config.,Hệ thống Ưu tiên runtime snapshot hơn SecretRef thô của skill đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-013,Chặn env override không an toàn nhưng cho phép secret đã khai báo,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để Chặn env override không an toàn nhưng cho phép secret đã khai báo.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn env override không an toàn nhưng cho phép secret đã khai báo. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > blocks unsafe env overrides but allows declared secrets.,Hệ thống Chặn env override không an toàn nhưng cho phép secret đã khai báo đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-014,Chặn override biến môi trường host nguy hiểm,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để Chặn override biến môi trường host nguy hiểm.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Chặn override biến môi trường host nguy hiểm. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > blocks dangerous host env overrides even when declared.,Hệ thống Chặn override biến môi trường host nguy hiểm đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SKL-015,Cho phép env override bắt buộc từ snapshot,Workspace test có hoặc thiếu thư mục skill/command tùy tình huống kiểm thử.,"skill metadata, command name, frontmatter hoặc env override dùng để Cho phép env override bắt buộc từ snapshot.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Cho phép env override bắt buộc từ snapshot. Minh chứng Vitest: src/agents/skills.test.ts - applySkillEnvOverrides > allows required env overrides from snapshots.,Hệ thống Cho phép env override bắt buộc từ snapshot đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SUB-001,Hoàn tất run subagent đã đăng ký,Có registry subagent và môi trường test mô phỏng vòng đời run/cleanup.,"subagent run id, cleanup mode, retry budget, attachment hoặc hook event dùng để hoàn tất run subagent đã đăng ký.","1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống hoàn tất run subagent đã đăng ký. Minh chứng Vitest: src/agents/subagent-registry.test.ts - subagent registry seam flow > completes a registered run across timing persistence, lifecycle status, and announce cleanup.",Hệ thống hoàn tất run subagent đã đăng ký đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
TC-SUB-002,Xóa completion run delete-mode sau khi announce cleanup hết retry,Có registry subagent và môi trường test mô phỏng vòng đời run/cleanup.,"subagent run id, cleanup mode, retry budget, attachment hoặc hook event dùng để Xóa completion run delete-mode sau khi announce cleanup hết retry.",1. Chuẩn bị trạng thái và dữ liệu đầu vào. 2. Gọi module/hàm đang được kiểm thử. 3. Đối chiếu output hoặc state để xác nhận hệ thống Xóa completion run delete-mode sau khi announce cleanup hết retry. Minh chứng Vitest: src/agents/subagent-registry.test.ts - subagent registry seam flow > deletes delete-mode completion runs when announce cleanup gives up after retry limit.,Hệ thống Xóa completion run delete-mode sau khi announce cleanup hết retry đúng theo logic được kiểm thử và không phát sinh lỗi ngoài mong đợi.,Pass
